old_id,new_id
113683,177
103671,177
111457,177
111704,177
113435,177
105981,177
104930,177
60821,177
104927,177
103656,177
114816,177
113231,177
111859,177
111706,177
101872,177
113740,177
114647,177
114576,177
111729,177
47587,177
60410,177
86181,177
111124,177
111427,177
86415,177
58573,177
111813,177
105373,177
85561,177
103641,177
111949,177
66716,177
111417,177
89457,489
79166,489
121621,489
87120,489
86938,489
85289,489
123098,489
109087,84
79202,1253
85299,1253
4402,1253
127340,489
4696,1149
25467,1149
41816,848
127078,848
4253,1513
5163,1355
80190,1101
5236,1101
114515,569
111909,569
106185,569
5321,1437
82797,1437
84408,1437
28248,254
38355,254
27699,254
48465,254
3964,1252
5625,862
25355,728
40689,88
58466,458
43963,458
55875,458
33538,430
81223,217
49727,217
93673,217
49731,217
124239,458
33673,88
43454,88
126324,88
23013,458
124126,458
55187,458
23056,458
73175,430
39724,430
45684,430
22925,430
68600,430
49722,217
78882,217
48757,217
66118,217
49645,217
49739,217
49887,217
123619,217
5640,1040
122719,1288
122694,1288
122097,1288
123349,1288
5036,1288
5437,512
4489,1053
4024,1077
26823,803
111366,430
4949,1168
127342,499
127522,499
79403,499
127424,499
79374,499
127126,499
127123,499
75029,499
127109,499
127326,499
126955,499
58357,499
84456,499
127528,499
109118,327
69023,327
127517,327
127501,327
60241,327
60251,327
86892,327
104193,327
63135,327
127740,327
107902,327
60244,327
94922,327
109112,327
77165,327
60257,327
88789,327
61092,327
86963,327
54564,327
51457,327
110928,327
94952,327
128111,327
109080,327
94916,312
48977,312
55800,312
94448,312
47290,312
48747,312
49000,312
51448,312
48978,312
48272,312
46955,312
127255,757
79314,757
127622,757
72047,757
47718,757
57111,757
127681,757
123222,757
61052,106
74297,106
96372,106
126256,106
63099,106
105588,106
113976,106
75724,106
103668,106
127476,106
98362,106
103577,106
97124,106
64922,106
72365,106
97143,106
77570,106
98385,106
118717,106
102656,106
95700,106
52931,106
40794,106
51687,106
113219,106
107403,106
39853,106
126895,106
78652,106
106472,106
18693,106
125924,106
106192,106
92817,106
122565,106
119664,106
66723,106
107380,106
127626,106
59875,106
95703,106
118996,106
104593,106
67967,106
66039,106
78508,106
119593,106
61773,106
127706,106
107525,106
69505,106
58503,106
105441,106
106770,106
40356,106
40884,106
95800,106
113929,846
99837,846
107112,328
93426,617
56599,617
93882,617
93878,617
93418,617
93413,617
113769,912
123938,912
123661,912
115987,912
118946,912
115460,912
115679,912
113282,912
115347,912
123662,912
118463,912
108280,912
113290,912
115535,912
108582,912
120747,912
113024,912
120029,912
123904,912
104242,912
109662,912
123854,912
123910,912
114644,912
113449,912
108410,912
116985,912
113457,912
113463,912
113470,912
78668,912
113495,912
116830,912
116315,912
113158,912
116293,912
113645,912
108574,912
113815,912
123849,912
123950,912
123799,912
108316,912
123811,912
123815,912
123843,912
115829,912
123817,912
114081,912
123824,912
118102,912
118132,912
110716,912
118146,912
114087,912
118173,912
115592,912
114100,912
114114,912
114144,912
114156,912
123837,912
114163,912
114170,912
123788,912
114171,912
113190,912
114383,912
114481,912
115737,912
113225,912
113090,912
114178,912
123684,912
115915,912
123756,912
123691,912
123697,912
123715,912
113957,912
110357,912
116969,912
115849,912
123719,912
123748,912
115925,912
104552,912
110723,912
123760,912
123766,912
120759,912
47615,912
123769,912
123770,912
123786,912
110724,912
123775,912
123784,912
123776,912
123767,912
123779,912
116965,912
123648,912
123663,912
33127,219
53167,743
77641,126
101748,106
97209,106
99267,106
106350,106
106705,106
106208,106
103666,106
95886,106
95754,106
102421,106
96309,106
96067,106
103051,106
103677,106
78756,106
75348,106
95914,106
29325,106
105497,106
97103,106
5304,1559
4338,1350
5438,684
4490,1054
5234,1102
4408,1275
38520,1082
94623,92
94643,92
89654,92
40515,92
94636,92
94955,92
47523,92
89801,92
94684,92
54419,452
54052,452
24473,92
94653,92
36775,92
27545,92
94656,92
31774,762
53755,762
43613,762
89633,762
94711,92
44230,92
94625,92
42092,92
73383,92
94633,92
42351,92
44665,92
56854,92
94703,92
72447,499
25379,762
56329,762
91580,762
55065,762
39879,762
93312,762
49261,762
105422,762
4654,1219
76460,1219
5122,816
4271,1188
5167,1359
13850,1359
42919,762
86891,327
78143,499
70466,499
72898,499
79150,499
71054,499
73302,499
60258,327
127597,327
60246,327
103639,327
108402,327
89142,327
97025,327
107474,327
127441,327
94909,327
62396,327
73364,327
95030,327
61967,757
35737,757
49593,757
58562,757
62502,106
58498,106
95741,106
104637,106
78551,106
105818,106
102223,106
69514,106
100541,106
49442,106
70786,106
58416,106
103662,106
108096,106
101288,106
101363,106
97208,106
104634,106
70303,106
51536,106
127729,106
78507,106
70941,106
66601,106
122544,163
121035,163
121076,163
122695,163
118528,163
121130,163
122617,163
121082,163
122608,163
101344,163
122530,163
121108,163
121123,163
121102,163
121096,163
29431,757
121127,163
26625,163
121120,163
107063,757
102423,163
104344,163
106847,328
122751,163
117439,912
123652,912
123664,912
114292,912
113547,912
102973,912
113143,912
114166,912
108223,912
75609,912
123844,912
53505,912
123909,912
120742,912
123912,912
121135,163
122609,163
17698,163
121639,163
